Variable name,Definition
aggies_recognition_response_26,From list B
aggies_recognition_response_37,From list A
aggies_recognition_response_48,This is a distractor.
aggies_recognition_response_5,From list A
aggies_recognition_response_16,This is a distractor.
aggies_recognition_response_27,From list B
aggies_recognition_response_38,This is a distractor.
aggies_recognition_response_49,This is a distractor.
aggies_recognition_response_6,This is a distractor.
aggies_recognition_response_17,This is a distractor.
aggies_recognition_response_28,From list B
aggies_recognition_response_39,From list A
aggies_recognition_response_50,From list A
aggies_recognition_response_7,From list B
aggies_recognition_response_18,From list A
aggies_recognition_response_29,This is a distractor.
aggies_recognition_response_40,From list A
aggies_recognition_response_51,This is a distractor.
aggies_recognition_response_8,From list A
aggies_recognition_response_19,From list B
aggies_recognition_response_30,From list B
aggies_recognition_response_41,This is a distractor.
aggies_recognition_response_52,From list B
aggies_recognition_response_9,This is a distractor.
aggies_recognition_response_20,From list A
aggies_recognition_response_31,From list A
aggies_recognition_response_42,From list B
aggies_recognition_response_10,From list A
aggies_recognition_response_21,This is a distractor.
aggies_recognition_response_32,This is a distractor.
aggies_recognition_response_43,From list B
aggies_recognition_response_11,This is a distractor.
aggies_recognition_response_22,From list B
aggies_recognition_response_33,From list B
aggies_recognition_response_44,This is a distractor.
aggies_trial_a1_response_16,Continuation of previous fields in case more than 15 responses are given
aggies_trial_a2_response_16,
aggies_trial_a3_response_16,
aggies_trial_a4_response_16,
aggies_trial_a5_response_16,
aggies_trial_a1_response_17,
aggies_trial_a2_response_17,
aggies_trial_a3_response_17,
aggies_trial_a4_response_17,
aggies_trial_a5_response_17,
aggies_trial_a1_response_18,
aggies_trial_a2_response_18,
aggies_trial_a3_response_18,
aggies_trial_a4_response_18,
aggies_trial_a5_response_18,
aggies_trial_a1_response_19,
aggies_trial_a2_response_19,
aggies_trial_a3_response_19,
aggies_trial_a4_response_19,
aggies_trial_a5_response_19,
aggies_trial_a1_response_20,
aggies_trial_a2_response_20,
aggies_trial_a3_response_20,
aggies_trial_a4_response_20,
aggies_trial_a5_response_20,
aggies_trial_a1_response_21,
aggies_trial_a2_response_21,
aggies_trial_a3_response_21,
aggies_trial_a4_response_21,
aggies_trial_a5_response_21,
aggies_trial_a1_response_22,
aggies_trial_a2_response_22,
aggies_trial_a3_response_22,
aggies_trial_a4_response_22,
aggies_trial_a5_response_22,
aggies_trial_a1_response_23,
aggies_trial_a2_response_23,
aggies_trial_a3_response_23,
aggies_trial_a4_response_23,
aggies_trial_a5_response_23,
aggies_trial_a1_response_24,
aggies_trial_a2_response_24,
aggies_trial_a3_response_24,
aggies_trial_a4_response_24,
aggies_trial_a5_response_24,
aggies_trial_a1_response_25,
aggies_trial_a2_response_25,
aggies_trial_a3_response_25,
aggies_trial_a4_response_25,
aggies_trial_a5_response_25,
aggies_trial_b1_response_16,
aggies_trial_a6_response_16,
aggies_trial_a7_response_16,
aggies_trial_b1_response_17,
aggies_trial_a6_response_17,
aggies_trial_a7_response_17,
aggies_trial_b1_response_18,
aggies_trial_a6_response_18,
aggies_trial_a7_response_18,
aggies_trial_b1_response_19,
aggies_trial_a6_response_19,
aggies_trial_a7_response_19,
aggies_trial_b1_response_20,
aggies_trial_a6_response_20,
aggies_trial_a7_response_20,
aggies_trial_b1_response_21,
aggies_trial_a6_response_21,
aggies_trial_a7_response_21,
aggies_trial_b1_response_22,
aggies_trial_a6_response_22,
aggies_trial_a7_response_22,
aggies_trial_b1_response_23,
aggies_trial_a6_response_23,
aggies_trial_a7_response_23,
aggies_trial_b1_response_24,
aggies_trial_a6_response_24,
aggies_trial_a7_response_24,
aggies_trial_b1_response_25,
aggies_trial_a6_response_25,
aggies_trial_a7_response_25,
borb_visit,The participant has to identify if images depict real or chimaerical animals
borb_date,
borb_instrument,
borb_age_in_months,
borb_real_score,Number of correctly identified real animals or tools out of 16
borb_unreal_score,Number of correctly identified chimaerical animals or tools out of 16
borb_total_score,Number of correctly identified stimuli out of 32
borb_target1,Correct: R - COW
borb_target2,Correct: UR - Camel/Duck
borb_target3,Correct: UR - Cockerel/Donkey
borb_target4,Correct: UR - Donkey/Cockerel
borb_target5,Correct: UR - Duck/Camel
borb_target6,Correct: R - Deer
borb_target7,Correct: UR - Giraffe/duck
borb_target8,Correct: UR - Horse/Fox
borb_target9,Correct: R - Dog
borb_target10,Correct: UR - Kangaroo/Snake
borb_target11,Correct: UR - Leopard/Rhino
borb_target12,Correct: R - Fox
borb_target13,Correct: R - Goat
borb_target14,Correct: R - Lion
borb_target15,Correct: UR - Monkey/Rabbit
borb_target16,Correct: UR - Mouse/Zebra
borb_target17,Correct: R - Pliers
borb_target18,Correct: UR - Pig/lion
borb_target19,Correct: R - Scissors
borb_target20,Correct: R - Screw
borb_target21,Correct: UR - Rabbit/Lion
borb_target22,Correct: R - Seal
borb_target23,Correct: R - Sheep
borb_target24,Correct: R - Snake
borb_target25,Correct: UR - Screwdriver/scissors
borb_target26,Correct: R - Swan
borb_target27,Correct: R - Rhino
borb_target28,Correct: UR - Seahorse/Duck
borb_target29,Correct: UR - Squirrel/Zebra
borb_target30,Correct: UR - Tiger/Mouse
borb_target31,Correct: R - Tortoise
borb_target32,Correct: R - Zebra
boston_visit,The participant has to name objects depicted in relatively abstract drawings
boston_date,
boston_instrument,
boston_age_in_months,
boston_total_score_without_cues,Correct object identifications without the need for cues (out of 30)
boston_total_score_with_cues,Correct object identifications including those where cues were required (out of 30) There are 2 cues: semantic (given 1st) and phonological (given last)
boston_item1,House
boston_item2,Whistle
boston_item3,Scissors
boston_item4,Helicopter
boston_item5,Octopus
boston_item6,Mushroom
boston_item7,Camel
boston_item8,Mask
boston_item9,Racket
boston_item10,Snail
boston_item11,Volcano
boston_item12,Dart
boston_item13,Beaver
boston_item14,Harmonica
boston_item15,Rhinoceros
boston_item16,Acorn
boston_item17,Igloo
boston_item18,Stilts
boston_item19,Dominos
boston_item20,Pelican
boston_item21,Stethoscope
boston_item22,Pyramid
boston_item23,Muzzle
boston_item24,Funnel
boston_item25,Accordion
boston_item26,Asparagus
boston_item27,Compass
boston_item28,Parchment/scroll
boston_item29,Tongs
boston_item30,Palette
visit_type_neuropsych_dkefs_category_fluency,The participant has to name as many items from a semantic category as possible within a period of 60 seconds. There are 2 categories.
date_neuropsych_dkefs_category_fluency,
instrument_neuropsych_dkefs_category_fluency,
examiner_neuropsych_dkefs_category_fluency,
date_taken_neuropsych_dkefs_category_fluency,
candidate_age_neuropsych_dkefs_category_fluency,
window_difference_neuropsych_dkefs_category_fluency,
test_not_administered_or_complete_neuropsych_dkefs_category_fluency,
test_incomplete_reason_code_neuropsych_dkefs_category_fluency,
total_raw_score_animals_neuropsych_dkefs_category_fluency,Total number of correct animals named within 60 seconds
total_raw_score_boys_neuropsych_dkefs_category_fluency,Total number of correct boys names named within 60 seconds
total_raw_score_combined_neuropsych_dkefs_category_fluency,Total correct namings of both categories
num_words_animals_1_neuropsych_dkefs_category_fluency,Number of correct animal names produced in the first 15 seconds
num_words_animals_2_neuropsych_dkefs_category_fluency,Number of correct animal names produced between 16 and 30 seconds
num_words_animals_3_neuropsych_dkefs_category_fluency,Number of correct animal names produced between 31 and 45 seconds
num_words_animals_4_neuropsych_dkefs_category_fluency,Number of correct animal names in the last 15 seconds
num_words_boys_1_neuropsych_dkefs_category_fluency,Number of correct boys names produced in the first 15 seconds
num_words_boys_2_neuropsych_dkefs_category_fluency,Number of correct boys names produced between 16 and 30 seconds
num_words_boys_3_neuropsych_dkefs_category_fluency,Number of correct boys names produced between 31 and 45 seconds
num_words_boys_4_neuropsych_dkefs_category_fluency,Number of correct boys names in the last 15 seconds
overall_scaled_score_neuropsych_dkefs_category_fluency,"Scaled score for the whole test (mean = 10, SD = 3)"
repetition_errors_animals_neuropsych_dkefs_category_fluency,Animal names named more than once
repetition_errors_boys_neuropsych_dkefs_category_fluency,Boys names named more than once
total_repetition_errors_combined_neuropsych_dkefs_category_fluency,
set_loss_errors_animals_neuropsych_dkefs_category_fluency,Number of words produced that are not animals
set_loss_errors_boys_neuropsych_dkefs_category_fluency,Number of words produced that are not boys names
total_set_loss_errors_combined_neuropsych_dkefs_category_fluency,
text_response_animals_1_neuropsych_dkefs_category_fluency,Words produced in the first 15 seconds
text_response_animals_2_neuropsych_dkefs_category_fluency,Words produced between 16 and 30 seconds
text_response_animals_3_neuropsych_dkefs_category_fluency,Words produced between 31 and 45 seconds
text_response_animals_4_neuropsych_dkefs_category_fluency,Words produced in the last 15 seconds
text_response_boys_1_neuropsych_dkefs_category_fluency,Words produced in the first 15 seconds
text_response_boys_2_neuropsych_dkefs_category_fluency,Words produced between 16 and 30 seconds
text_response_boys_3_neuropsych_dkefs_category_fluency,Words produced between 31 and 45 seconds
text_response_boys_4_neuropsych_dkefs_category_fluency,Words produced in the last 15 seconds
letter_vs_category_contrast_neuropsych_dkefs_category_fluency,"Scaled score difference between letter fluency (F, A and S) and category fluency"
candidate_resp_animals1_neuropsych_dkefs_category_fluency,Redundant
num_correct_resp_animals1_neuropsych_dkefs_category_fluency,Redundant
candidate_resp_animals2_neuropsych_dkefs_category_fluency,Redundant
num_correct_resp_animals2_neuropsych_dkefs_category_fluency,Redundant
candidate_resp_animals3_neuropsych_dkefs_category_fluency,Redundant
num_correct_resp_animals3_neuropsych_dkefs_category_fluency,Redundant
candidate_resp_animals4_neuropsych_dkefs_category_fluency,Redundant
num_correct_resp_animals4_neuropsych_dkefs_category_fluency,Redundant
total_set_loss_errors_animals_neuropsych_dkefs_category_fluency,Redundant
total_set_loss_errors_animals_status_neuropsych_dkefs_category_fluency,Redundant
total_repetition_errors_animals_neuropsych_dkefs_category_fluency,Redundant
total_repetition_errors_animals_status_neuropsych_dkefs_category_fluency,Redundant
candidate_resp_boys1_neuropsych_dkefs_category_fluency,Redundant
num_correct_resp_boys1_neuropsych_dkefs_category_fluency,Redundant
candidate_resp_boys2_neuropsych_dkefs_category_fluency,Redundant
num_correct_resp_boys2_neuropsych_dkefs_category_fluency,Redundant
candidate_resp_boys3_neuropsych_dkefs_category_fluency,Redundant
num_correct_resp_boys3_neuropsych_dkefs_category_fluency,Redundant
candidate_resp_boys4_neuropsych_dkefs_category_fluency,Redundant
num_correct_resp_boys4_neuropsych_dkefs_category_fluency,Redundant
total_set_loss_errors_boys_neuropsych_dkefs_category_fluency,Redundant
total_set_loss_errors_boys_status_neuropsych_dkefs_category_fluency,Redundant
total_repetition_errors_boys_neuropsych_dkefs_category_fluency,Redundant
total_repetition_errors_boys_status_neuropsych_dkefs_category_fluency,Redundant
total_responses_neuropsych_dkefs_category_fluency,Redundant
total_responses_status_neuropsych_dkefs_category_fluency,Redundant
dkefs_color_visit_type,"The participant has to either name the color of a stimulus or read it aloud. The test has 4 conditions : color naming, word reading, inhibition (name the color of a word that means a different color) and switching (between reading and naming the color)"
dkefs_color_date,
dkefs_color_instrument,
dkefs_color_age_in_months,
dkefs_color_uncorrected_errors_color_naming,Condition 1 (naming) count of error that the participant did not correct 
dkefs_color_selfcorrected_errors_color_naming,Condition 1 (naming) count of error that the participant corrected
dkefs_color_time_color_naming,Time to go through the 50 stimuli of the condition 1 (naming)
dkefs_color_uncorrected_errors_color_reading,Condition 2 (reading) count of error that the participant did not correct 
dkefs_color_selfcorrected_errors_color_reading,Condition 2 (reading) count of error that the participant corrected
dkefs_color_time_color_reading,Time to go through the 50 stimuli of the condition 2 (reading)
dkefs_color_uncorrected_errors_inhibition,Condition 3 (inhibition) count of error that the participant did not correct 
dkefs_color_selfcorrected_errors_inhibition,Condition 3 (inhibition) count of error that the participant corrected
dkefs_color_time_inhibition,Time to go through the 50 stimuli of the condition 3 (inhibition)
dkefs_color_uncorrected_errors_switching,Condition 4 (inhibition/switching) count of error that the participant did not correct 
dkefs_color_selfcorrected_errors_switching,Condition 4 (inhibition/switching) count of error that the participant corrected
dkefs_color_time_switching,Time to go through the 50 stimuli of the condition 4 (inhibition/switching)
dkefs_lf_visit_type,"The participant has to name as many words as possible that start with a given letter (F, A and S in English, P, F and L in French)"
dkefs_lf_date,
dkefs_lf_instrument,
dkefs_lf_age,
total_raw_score,Total number of correct words produced within all 3 trials
total_scaled_score,"Scaled score for the whole test (mean = 10, SD = 3)"
total_count_interval1,Number of correct words produced in the first 15 seconds
total_count_interval2,Number of correct words produced between 16 and 30 seconds
total_count_interval3,Number of correct words produced between 31 and 45 seconds
total_count_interval4,Number of correct words produced in the last 15 seconds
total_count_letter1,Letter F - total over 60 seconds
total_count_letter2,Letter A - total over 60 seconds
total_count_letter3,Letter S - total over 60 seconds
total_repetition,Words produced more than once within one trial (total for all 3 trials)
total_setloss,Wrong words produced (total for all 3 trials)
response_letter1_interval1,F - first 15 secs
count_letter1_interval1,Number of words
response_letter1_interval2,F - 16-30 secs
count_letter1_interval2,Number of words
response_letter1_interval3,F - 31-45 secs
count_letter1_interval3,Number of words
response_letter1_interval4,F - last 15 secs
count_letter1_interval4,Number of words
total_setloss_letter1,Errors for F
total_repetition_letter1,Repetitions for F
response_letter2_interval1,A - first 15 secs
count_letter2_interval1,Number of words
response_letter2_interval2,A - 16-30 secs
count_letter2_interval2,Number of words
response_letter2_interval3,A - 31-45 secs
count_letter2_interval3,Number of words
response_letter2_interval4,A - last 15 secs
count_letter2_interval4,Number of words
total_setloss_letter2,Errors for A
total_repetition_letter2,Repetitions for A
response_letter3_interval1,S - first 15 secs
count_letter3_interval1,Number of words
response_letter3_interval2,S - 16-30 secs
count_letter3_interval2,Number of words
response_letter3_interval3,S - 31-45 secs
count_letter3_interval3,Number of words
response_letter3_interval4,S - last 15 secs
count_letter3_interval4,Number of words
total_setloss_letter3,Errors for S
total_repetition_letter3,Repetitions for S
dsymb_visit_type,The participant has to translate digits into symbol by using a key at the top of the page. Each number has a symbol associated to it. The participant has 120 seconds(?) to translate as many digits as possible. From the WAIS-III
dsymb_date,
dsymb_instrument,
dsymb_candidate_age,
dsymb_raw_score,Number of correctly translated digits (max = 133)
dsymb_scaled_score,"Scaled score (mean = 10, SD = 3)"
dsymb_pairing_correct_raw_score,Not sure what this stands for
dsymb_recall_correct_raw_score,Number of correctly recalled symbol after the pairing/translation phase (out of 9)
dsymb_completion_time,Time required (generally 120 seconds)
dsymb_total_raw_score,Redundant
dsymb_pairing,Redundant
dsymb_recall,Redundant
fcsrt_visit_type,"In this test, the participant is presented with sheets with 4 pictures. They are asked to point towards the picture representing one category (e.g. fruit: grape), then name it. After this, the participant has to recall the word. This is done for 16 words.  If they miss, they are told what the missing word was and promped to repeat it. After the learning, there is an interference (counting down from 100 by 3s. Then, there are 3 immediate recal trials where, in case of failure to recall one word, they are cued with the category of the missing words (e.g. what was the fruit?). There is a delayed recall after ~20 mins"
fcsrt_date,
fcsrt_instrument,
fcsrt_candidate_age,
fcsrt_total_free_ir,"Free score in the immediate recall (total of 3 trials, maximum is 48)"
fcsrt_total_ir,"Total (Free + cued) score in the immediate recall (total of 3 trials, maximum is 48)"
fcsrt_total_free_dr,Free score in the delayed recall (out of 16)
fcsrt_total_dr,Total (Free + cued) score in the delayed recall (out of 16)
fcsrt_identify1,Picture 1 pointed correctly (which one is the fruit?)
fcsrt_name1,Picture 1 named correctly after pointing (grapes)
fcsrt_icr1,"Word 1 recalled correctly after hiding the picture sheet. ""what was the fruit?"" if not recalled, then ""The fruit was the grapes. What was the fruit?"""
fcsrt_identify2,which one is the Sports equipment
fcsrt_name2,Racquet
fcsrt_icr2,
fcsrt_identify3,which one is the Bird
fcsrt_name3,Owl
fcsrt_icr3,
fcsrt_identify4,which one is the furniture
fcsrt_name4,Desk
fcsrt_icr4,
fcsrt_identify5,which one is part of a building
fcsrt_name5,Chimney
fcsrt_icr5,
fcsrt_identify6,which one is the type of boat
fcsrt_name6,Submarine
fcsrt_icr6,
fcsrt_identify7,which one is the fastener
fcsrt_name7,Paper clip
fcsrt_icr7,
fcsrt_identify8,which one is the  fish
fcsrt_name8,Shark
fcsrt_icr8,
fcsrt_identify9,Which one is used for measuring
fcsrt_name9,Ruler
fcsrt_icr9,
fcsrt_identify10,Which one is used for seeing
fcsrt_name10,Binoculars
fcsrt_icr10,
fcsrt_identify11,Which one is a kind of plant
fcsrt_name11,Cactus
fcsrt_icr11,
fcsrt_identify12,Which one is used by babies
fcsrt_name12,Rattle
fcsrt_icr12,
fcsrt_identify13,Which one is a part of a car
fcsrt_name13,Steering wheel
fcsrt_icr13,
fcsrt_identify14,Which one is for holding liquids
fcsrt_name14,Pitcher (or jug)
fcsrt_icr14,
fcsrt_identify15,Which one is a toiletry
fcsrt_name15,Razor
fcsrt_icr15,
fcsrt_identify16,Which one is the musical instrument
fcsrt_name16,Guitar
fcsrt_icr16,
fcsrt_trial1_1,"Word 1 recall type (free, cued or selective reminding). SR means that they couldn't recall even with the cue and the experimenter told them the word."
fcsrt_trial2_1,Word 1 recall for the 2nd trial
fcsrt_trial3_1,Word 1 recall for the 3rd trial
fcsrt_trial1_2,etc
fcsrt_trial2_2,
fcsrt_trial3_2,
fcsrt_trial1_3,
fcsrt_trial2_3,
fcsrt_trial3_3,
fcsrt_trial1_4,
fcsrt_trial2_4,
fcsrt_trial3_4,
fcsrt_trial1_5,
fcsrt_trial2_5,
fcsrt_trial3_5,
fcsrt_trial1_6,
fcsrt_trial2_6,
fcsrt_trial3_6,
fcsrt_trial1_7,
fcsrt_trial2_7,
fcsrt_trial3_7,
fcsrt_trial1_8,
fcsrt_trial2_8,
fcsrt_trial3_8,
fcsrt_trial1_9,
fcsrt_trial2_9,
fcsrt_trial3_9,
fcsrt_trial1_10,
fcsrt_trial2_10,
fcsrt_trial3_10,
fcsrt_trial1_11,
fcsrt_trial2_11,
fcsrt_trial3_11,
fcsrt_trial1_12,
fcsrt_trial2_12,
fcsrt_trial3_12,
fcsrt_trial1_13,
fcsrt_trial2_13,
fcsrt_trial3_13,
fcsrt_trial1_14,
fcsrt_trial2_14,
fcsrt_trial3_14,
fcsrt_trial1_15,
fcsrt_trial2_15,
fcsrt_trial3_15,
fcsrt_trial1_16,
fcsrt_trial2_16,
fcsrt_trial3_16,
fcsrt_delayed_interval,Time interval between the end of the 3rd immediate recall and the delayed recall trial (DR)
fcsrt_free_dr_1,Was word 1 recalled freely in the delayed recall?
fcsrt_cued_dr_1,"If not, was it recalled with the cue?"
fcsrt_free_dr_2,Etc
fcsrt_cued_dr_2,
fcsrt_free_dr_3,
fcsrt_cued_dr_3,
fcsrt_free_dr_4,
fcsrt_cued_dr_4,
fcsrt_free_dr_5,
fcsrt_cued_dr_5,
fcsrt_free_dr_6,
fcsrt_cued_dr_6,
fcsrt_free_dr_7,
fcsrt_cued_dr_7,
fcsrt_free_dr_8,
fcsrt_cued_dr_8,
fcsrt_free_dr_9,
fcsrt_cued_dr_9,
fcsrt_free_dr_10,
fcsrt_cued_dr_10,
fcsrt_free_dr_11,
fcsrt_cued_dr_11,
fcsrt_free_dr_12,
fcsrt_cued_dr_12,
fcsrt_free_dr_13,
fcsrt_cued_dr_13,
fcsrt_free_dr_14,
fcsrt_cued_dr_14,
fcsrt_free_dr_15,
fcsrt_cued_dr_15,
fcsrt_free_dr_16,
fcsrt_cued_dr_16,
face_name_visit_type,"A computerized task where faces are presented and identified with a name. Afterward, the participant has to recall the names associated with the faces. There is also a 20 mins delayed recall followed by a recognition where they have to if the name-face pair matches, if the name is new or if the name of another face was put there. "
face_name_date,
face_name_instrument,
face_name_candidate_age,
face_name_total_ir,Out of 9
face_name_total_dr,Out of 9
face_name_total_drecog,Out of 9
face_name_ir_correct_1,Was face 1 correctly identified?
face_name_ir_verbatim_1,What was the response? (correct = Elizabeth)
face_name_ir_correct_2,
face_name_ir_verbatim_2,Correct = Mary
face_name_ir_correct_3,
face_name_ir_verbatim_3,Correct = Charles
face_name_ir_correct_4,
face_name_ir_verbatim_4,Correct = Michael
face_name_ir_correct_5,
face_name_ir_verbatim_5,Correct = Linda
face_name_ir_correct_6,
face_name_ir_verbatim_6,Correct = Joseph
face_name_ir_correct_7,
